Vernier Format 2
RKE_noMass.cmbl 3/20/2024 20:27:00 .
Latest
Time	GateState	STime	SDist	SVel	SAccel
t	State	stime	sdist	svel	saccel
s		s	m	m/s	m/s^2

0.0795844	0	0.169951	0	 	 
0.13132	1	0.239332	0.015	0.241140185908	0.719005717875
0.1714824	0	0.2966402	0.03	0.281498946642	0.689475467499
0.208582	1	0.3468402	0.045	0.316434485818	0.702378682939
0.2397828	0	0.3919818	0.06	0.347164477388	0.65911455479
0.270082	1	0.4335488	0.075	0.375681913139	0.713004469967
0.296682	0	0.4720682	0.09	0.405392953504	0.829648861314
0.3231984	1	0.5077654	0.105	0.434489701989	0.800548940505
0.3466848	0	0.5412554	0.12	0.460034439461	0.724965390451
0.370482	1	0.5730644	0.135	0.481817652529	0.644660380126
0.3918216	0	0.6035738	0.15	0.502577984018	0.71625340309
0.4134816	1	0.6328108	0.165	0.522831940993	0.669248322469
0.433182	0	0.6609924	0.18	0.542141606343	0.701125634298
0.453616	1	0.6881824	0.195	0.56116087873	0.697864611141
0.472082	0	0.7144826	0.21	0.579249033151	0.67764997968
0.4905204	1	0.7399974	0.225	0.597509823411	0.753738097821
0.507482	0	0.7647162	0.24	0.616705556083	0.799390101926
0.5250104	1	0.7886672	0.255	0.635421116815	0.76343071824
0.5409828	0	0.811948	0.27	0.652538149855	0.707054234239
0.5575004	1	0.8346558	0.285	0.668168913305	0.669632494493
0.572882	0	0.8568582	0.3	0.682255530351	0.599294922897
0.5886284	1	0.8786358	0.315	0.695787284594	0.643427346195
0.603182	0	0.8999834	0.33	0.709406344168	0.632506208279
0.6185192	1	0.9209322	0.345	0.723954259748	0.756395836645
0.6325968	0	0.9414322	0.36	0.738116810449	0.625316426861
0.6471024	1	0.9615822	0.375	0.752861073768	0.838134026727
0.660694	0	0.98129	0.39	0.77018148068	0.919586968161
0.6748824	1	1.0005446	0.405	0.786154254573	0.739525544497
0.6878128	0	1.0194566	0.42	0.799960561806	0.720532327021
0.7014824	1	1.0380518	0.435	0.812139180922	0.589334640346
0.7141824	0	1.0563994	0.45	0.823110483886	0.606604116099
0.7274828	1	1.0745022	0.465	0.83375286035	0.569167197113
0.7396908	0	1.092384	0.48	0.844083877084	0.586311192555
0.752512	1	1.1100464	0.495	0.855271435919	0.68051085144
0.7644928	0	1.127464	0.51	0.866628358926	0.623563533837
0.7769204	1	1.144666	0.525	0.87764465416	0.65725209627
0.788398	0	1.1616492	0.54	0.891237693743	0.943510961602
0.800414	1	1.1783324	0.555	0.90694324115	0.93928699166
0.8116824	0	1.1947322	0.57	0.920071604949	0.661752508733
0.823482	1	1.2109408	0.585	0.929741663202	0.531448415838
0.834382	0	1.2270006	0.6	0.938588383603	0.570273947018
0.8458296	1	1.2429052	0.615	0.947421023119	0.540428556117
0.8565824	0	1.2586668	0.63	0.956404407863	0.599479161936
0.8678868	1	1.2742742	0.645	0.966505205291	0.694880875895
0.878422	0	1.2897084	0.66	0.976497928856	0.599999787277
0.8893848	1	1.3049976	0.675	0.987276012624	0.809895271673
0.899682	0	1.3200974	0.69	1.00044489369	0.934350488318
0.910582	1	1.3349872	0.705	1.0141292024	0.903727754996
0.920682	0	1.349682	0.72	1.02588084807	0.695701385392
0.9312824	1	1.3642318	0.735	1.03451439678	0.491057018415
0.9411176	0	1.3786818	0.75	1.04167711535	0.500322714069
0.951582	1	1.3930322	0.765	1.04896223132	0.51499615832
0.9613012	0	1.4072822	0.78	1.05768177531	0.708799490013
